Sleep hours	Active hours
5	8
5	9
8	16
6	17
5	18
8	17
7	15
2	5
8	16
3	5
8	17
6	16
7	15
6	17
8	16
6	17
6	17
8	16
4	7
5	18
3	5
5	18
7	16
8	17
7	16
6	16
6	17
7	16
6	17
5	18
6	17
8	16
7	16
7	16
8	17
3	6
8	16
6	16
4	6
7	15
6	17
8	16
5	18
6	17
7	16
8	17
7	16
8	17
8	17
6	17
7	16
4	8
6	17
4	6
7	15
7	15
8	16
5	9
4	7
7	16
4	8
3	5
4	9
10	14
8	17
7	15
8	17
7	15
7	16
8	16
8	17
5	8
6	17
5	18
4	19
7	16
8	16
8	16
7	16
6	16
6	17
6	16
6	16
5	8
8	16
5	18
7	16
4	6
6	16
7	15
7	15
4	8
5	17
8	16
7	15
5	8
6	16
4	7
8	16
7	15
6	17
10	15
6	17
9	15
8	17
6	16
8	17
7	15
7	16
6	17
6	17
7	15
9	16
2	5
5	9
6	17
4	9
4	18
4	9
8	16
6	16
8	16
4	6
5	18
4	9
5	9
8	17
8	17
6	16
4	7
8	17
8	16
6	16
8	16
7	15
7	16
4	7
7	15
7	16
5	7
8	17
7	15
9	16
8	17
7	16
4	9
7	15
8	17
7	16
5	18
6	17
7	15
5	9
5	8
7	15
8	16
4	7
3	6
6	16
6	17
7	15
3	5
2	5
6	16
7	16
7	15
3	6
7	16
6	17
8	16
7	15
5	7
8	16
8	17
5	8
6	17
6	16
6	17
8	16
6	16
8	16
6	16
7	15
6	16
6	16
6	17
4	9
6	16
8	17
6	16
6	16
8	17
6	16
4	7
7	15
6	16
8	16
8	16
8	16
7	16
8	16
7	16
8	16
7	16
6	16
9	15
8	16
7	16
7	16
3	6
7	16
8	17
7	15
8	16
8	17
6	16
8	16
8	16
6	17
6	16
6	17
7	16
7	15
6	17
8	16
8	17
7	16
6	16
5	9
7	16
6	17
3	6
7	15
8	17
6	17
3	5
4	9
7	15
9	16
5	7
7	15
6	16
8	16
4	8
7	15
9	16
6	16
7	16
6	16
8	16
